IsSpam;Text
1;Елена Валерьевна, для вас особые условия по кредиту - 2 450 000 р. под 9.4% с финансовой защитой на 60 мес. Подайте заявку в любом офисе Газпромбанка. Подробнее: s.gpb.ru/m/JDuem Банк ГПБ (АО). Не оферта
0;С Днем Рождения!!!!!!!! Желаю счастья, радости, Удачи!!!!!!!!!
1;"-25% на уходовую косметику и макияж в ""Подружке"" до 09.07. Код:2924116 https://m.mrktlg.com/f-mP-3nt8X  ООО «Табер Трейд», ОГРН 1037739861851, 115280, г. Москва, ул. Ленинская Слобода, д.19, комн. 21В"
0;С 8 МАРТА ДОРОГАЯ, Я ЛЮБЛЮ ТЕБЯ
1;Первомай наступает! Покажи смс и получи скидку 20% до 1.05! Лавка Орка
0;Ты видел кто тал призедентом в Нидерландах? Интересно, как они будут жить
1;Деньги на карту за 5 минут! Получите нужную сумму без залога! Успейте: https://m .mrktlg.com/w fsXciOLX
0;Датчики воды зафиксировали утечку, перекройте краны.
1;"Скидка 30% на 1-й заказ в СберМаркете от 1500р. Код ""RST"" до 30.06.23 https://m.mrktlg.com/ydKtPCtxLX/SBERMARKET  ООО ""Инстамарт Сервис"", г. Москва, Садовническая ул, д. 9а, этаж/помещ./ком. 5/I/1, ОГРН 1187746494980 6+"
0;Куплен билет на конецерт Щелкунчик. Время мероприятия 23.12.23
1;Раскрасьте своё лето! Более 469 млн в Спортлото 4из20 stolo.to/420
0;Здравствуйте, Нина Геннадьевна Розембаум, номер вашего статуса был изменён
1;Сегодня распределим всё! Участвуйте в розыгрыше Топ-3 stolo.to/top3
0;Не забудь документы мне отправить, хорошо?
1;ХАЛВА и ЯНДЕКС GO: До +20% кэшбэка на поездки https://hva.im/2tq8g5
0;Чушь какая то, не стоит пока что ехать в тот детский сад
1;Изи сет! 72 шт всего за 1389 рублей по коду 9932 до 30.06 на farfor.ru
0;Вы наняли репетитора по математике. Учитесь с удовольствием
1;Скидки до -30% на ВСЕ в НОВОМ kari ТЦ Спар,ул.Октябрьская 91!До 09.04
0;Перевод денег отменён, заказ не оплачен!
1;Купите на 700 ? до 08.07: начислим 700 баллов на 10 дней.
0;"Привет, ты читал Кафку? Совсем не понимаю о чём речь в книге ""Превращение"""
1;Вам Бонус 65000 руб. Ваш статус ПЛАТИНУМ: netgm.ru/FD.8CN
0;Посылка на почте. Номер заказа 3345809403
1;Специально для Вас - скидка 3000 рублей на realme 9i!   Просто выберите модель и укажите Ваш промокод GMRV838GVU при покупке смартфона в МегаФоне до 31.07.2023.   Выбрать: www.megafon.ru/go/real_128gb
0;Продление подписки, свашего счёта снято 400 рублей
1;Лимит до 150 000 руб. только по паспорту — и до 365 дней без % на покупки. Подробнее: https://beel.ink/ahTAW АО Альфа-Банк. Ген. лицензия ЦБ РФ 1326 от 16.01.15. Не оферта
0;Кредит погашен, можете быть свободны.
1;«CRAZY SALE» скидки до 50%+20% на вторую! Francesco.ru
0;Мне очень грустно, у меня умерла рыбка…
1;-25% на КОРМА/ЛАКОМСТВА для животных 27.06 Супер Лента lenta.com/Ar9M
0;Я в шоке, ненормативная лексика в школе недопустима!
1;Только до 1.07 -75% ДР клуба?? Успей?? 84950115443
0;Почему никто не соблюдает режим сна? Я одна это делаю???
1;Михаил Владимирович, откройте СберВклад Прайм с доходностью до 7,2% годовых с возможностью пополнения. Подробнее: www.sberbank.com/sms/mp  Условия действительны на дату рассылки. А чтобы мы могли улучшить продукты, пройдите, пожалуйста, опрос: https://s.sber.ru/GSBnK  ПАО Сбербанк
0;Поменяйте Паспорт гражданина РФ 
1;Закрытый WEEKEND для своих -20% + 3 Подарка в заказ
0;Уклонение от призыва влечёт уголовную ответсвенность
1;Успей до 2.07 в РИВ ГОШ! Скидки до 50% на 500 марок! rivegch.ch/rvdrc
0;Пришла повестка на гос услуги. Проверте, вы ли это
1;- 70% на Фитнес с Бассейном! Только до 30.09.2022  Дни открытых дверей в «СССР Марьино»! Подробности: 84951543925 
0;Успейте проголосовать за кандидата в Гос. Думу
1;"Получите кредитную карту МТS CASHBACK с бесплатным обслуживанием и лимитом до 1 млн рублей. Пользуйтесь льготным периодом до 415 дней на покупки в магазинах МТС и до 111 дней на всё остальное: l.mts.ru/1/creditpl ПАО ""МТС-Банк"""
0;У меня все уснули. Приезжай ко мне. Я скучаю)
1;Кешбэк 20% за влаж. корма Whiskas от 150 ? до 10.07: lp.5ka.ru/WHb0407
0;Твой чай был прекрансым. Вот бы мне найти такого продавца. Почему я раньше не пил такого прекрансого чая. Я прям радуюсь как ребёнок
1;"Мы знаем, кто Вам звонил. Это - ""Русский Стандарт, банк"". Хотите определять незнакомые номера во время звонка? Включите услугу ""Знаю, кто звонит Plus"" за 99 руб./месяц. Наберите: *963*2# или отправьте 2 в ответ на это SMS.  Узнайте, кто вам звонил с незнакомого номера, поставьте ему рейтинг, почитайте комментарии других пользователей и оставьте свой на портале услуги: https://zkz.megafon.ru/"
0;ТВОЙ мусор в квартире раздражает
1;Дорогой сосед,  2 июля приглашаем на открытие обновленного супермаркета «Анвар» по ул. Алматы 5.  Ждем вас и ваших друзей. Приходите и получите свой гарантированный подарок!
0;Вы открыли ИП. С вас будут списывтаься налоги в размере 7%
1;Мы скучаем! До 31.07 дарим скидку -25%, до 12:00 -30% podrygka.ru/s
0;Вы оформили самозанятость. Ваш номер ИНН 34944034
1;С Днём Рождения! Дарим скидку 10% на следующий заем. Ваш промокод HBDAY lmzm.cc/Nm
0;Поставки крыс в лабораторию идут с перебоем, пожалуйста, сделайте с этим что-нибудь
1;"Суперцены на 1000 товаров до 08.03.23! Пирогова 63 и Добрострой.рф ООО ""ЭТК"", ОГРН 1023000836836, г. Астрахань, ул. Свердлова, д. 47"
0;Ваша дипломная работа потрясающая. Можете отдохнуть до сдачи 
1;Мы открылись?? Доставка суши и роллов в Царицыно?? yobidoyobi.ru
0;Зай, купи бомбочки для ванны. Мне очень нравятся пузырики :)
1;"Только для абонентов Tele2. Арендуйте автомобиль ""Ситидрайв"" всего за 1 руб. Акция распространяется на поездки стоимостью до 600 руб. и действует до 31.08.23. Подробнее – в программе ""Больше"": l.tele2.ru/b81RJ"
0;Ваш залог будет оставлен у нас. НЕ надо было повреждать стены, матрац, паркет, раковину. Как вы додумались сломать чугунную ванну? Это как? Балгаркой?
1;До 03.7 Пицца ПЕПЕРОНИ 499, Томаты Махитос 159,9 ул.Токарева 15
0;Вам пришла повестка в суд, придите 18 ноября 23 года в Государственный суд
1;iPhone 14 с БЕЗЛИМИТНЫМ интернетом на год и экономией на тарифе от 37 500 тенге в месяц. Смартфон+тариф в Kcell|activ store  - это выгоднее, чем просто рассрочка! Приобрести можно здесь: https://i.activ.kz/iphone14 или по адресу г. Кокшетау, ул. Акан Серы, 91, магазин Kcell/activ
0;Привет, ты давно сидишь за компьютером, не хочешь выпить кофе? Хихик
1;Выгодная подписка от Перекрёстка! Кешбэк до 10% на все покупки, доп. выгоды на выпечку и кулинарию, бонусы от партнёров: clc.to/e5lnP
0;Перевод денежной валюты прошёл успешно. У вас на счету 30234 лиры
1;Купи шубку весной и выиграй iPhone, Вам купон-500 руб.,ул.Пушкина 65/2
0;Чек №234424 покупатель: Сергей, потратил 18 345 рублей
1;Хочу сделать Вам новый подарок - 14 дней бесплатного доступа в онлайн-кинотеатр START и годовую скидку 35% на продление.   Чтобы забрать подарок, пополните счет от 100 руб. до завтра: просто отправьте мне нужную сумму цифрой в ответном сообщении, это бесплатно.   А если захотите узнать обо мне больше - напишите «Привет».
0;Дорогой, я кажется машину поцарапала, не сердись, прошу
1;Ролл с лососем за 1р. при заказе от 1000р. Вводи 0107 - clck.ru/34tG8k
0;Ты никогда не работал на честной работе. Как ты живёшь? Советь не мучает?
1;Быть на связи выгодно! Пополните счет на 200 руб. до 27.05.2023 и получите 100 мин ежемесячно в течение 3 месяцев. Ваш МТС
0;Здравствуйте, Анатолий Васельков. Спешим вас разочаровать, мы нашли лучше работника чем вы.
1;Деньги на карту за 5 минут! Получите нужную сумму без залога! Успейте: https://m.mrktlg.com/An7Wwdnt8X
0;На рыбалку хочется…. А ты всё на охоту ходишь.
1;Дарим скидку 1000р при покупке от 5000р до 31.12! Промокод D583AB922D
0;Ты не поверишь, но я ПРОШЛА СОБЕСЕДОВАНИЕ на МЕНЕДЖЕРА
1;Первый заём до 30000 руб. под 0% на 30 дней https://wbnkr.ru/vsqW9h6 ООО МФК ВЭББАНКИР
0;Вы записались на приём к Отолорингологу по адресу: открытое шоссе 75 строение
1;-500 ? по коду НАЧАЛО на заказы от 1900 ? до 07.07 bit.ly/utkstart
0;Дорогая, можешь, пожалйста, прислать чек на покупку Ролтона? Хочу записать в расходы нашей семьи
1;Вам 60 дней подписки Прайм за 1?, подключайтесь cutt. y/ aWYAHVDV
0;Ваша карта заблокирована. Для разблокировки позвоните по номеру 8 916 345 44 22
1;Астана к?нiмен! Дарим Вам 17000 бонусов до 10.07.2023 kz.kari.com
0;У меня сломались наушники. Надо будет пойти с тобой в DNS после того как ты прилетишь
1;УСПЕЙ ПОТРАТИТЬ ВЕСЬ НАЧИСЛЕННЫЙ КЕШБЭК ДО 1.05! С 1.05 НАЧИСЛЕНИЯ ДЕЙСТВУЮТ 30 ДНЕЙ! УСЛОВИЯ - gj.rs/1
0;Вы оформили билет на перелёт из Мсоквы в Нью-Йорк на дату: 23.06.26
1;Сегодня! Жаркий сет всего 999р ?? Скидка 14% ?? sushiwok.ru/h1v
0;Пожалуйста, поплатите подписку или отмените её на сайте
1;Успейте купить последние билеты VK Фест. Билеты: www.goo.su/VKFEST23
0;Я тут застряла, помоги мне, прошу!
1;Лето – время домашнего интернета! А с тарифом «Лето» от Волны доступно сразу всё: домашний интернет, мобильная связь и более 100 ТВ-каналов всего за 150 руб./мес.! Прокачай своё лето https://clck.ru/34ZiSN
0;Прилети в Оренбург и забери собаку из приюта
1;Cкидка! Год за 127К вместо 250К. У тебя 2 дня: https://rrj.nu/h4AvbNQx
0;Горманальные таблетки, которые вы мне выписали, не работают. Нужен новый рецепт
1;100% скидка на вступ.взнос по 30.06. Успей до повышения! 84951282285
0;Подпишите документы на Гос. услугах 
1;Квартиры с ремонтом и кухней от 23 064р/мес 88432123160 clck.ru/34dvgn
0;Социальная карта готова. Приходите забирать по адресу Белорусская набережная дом 3 корпус 4
1;Скидка 500 на первый заказ от 3500 по промокоду 1ST bit.ly/new1ST
0;Я хронически не высыпаюсь. Мне уже ничего не помогает. Мне нужно купить снатворное
1;До -60% на все детские товары в Магнит Косметик до 3.06 clck.ru/34aDDe
0;Ощущаешь, скоро Новый Год. Он будет прекрасным, я тебя уверяю
1;"Бонусы по коду NTXVB-5ZX22 до 09.08 в игре ""Мир танков"". Подробнее: https://m.mrktlg.com/GDg_PhixmX 12+"
0;Наш сын смотрит майнкрафт третий день. Надо найти ему хобби
1;Скидка до 85% в любимых мобильных играх — стартует Google DCB Summer Deals Week 2023! C 29 июня по 6 июля залетайте в PUBG, Roblox, Genshin Impact и другие игры и получайте бонусы. Подробнее: https://bee.gg/e/google_dcb_rus
0;Кажется, дочка любит играть в куклы. Надо будет съездить за барби, как подарок на Новый Год
1;СУПЕРСКИДКИ! ШОРТЫ от 449,МАЙКИ от 199, ПЛАТЬЯ от 349, ДЖИНСЫ от 599!
0;Поехали в больницу СРОЧНО я кажется руку сломал!!!!
1;Идеальный подарок к 14.02!Золотое кольцо с БРИЛЛИАНТОМ ЯКУТИИ за 9990р
0;Я не могу сидеть ровно, мне всё время хочется что-то делать
1;Держи +150% к депозиту в казино ?? Пополняй счет от 10 BYN и вращай на всю >>> https://go.pm.by/ePHbzwGp
0;Вот бы полететь в Великобританию и увидеть Короля Карла
1;Скидка 600? на покупку от 1490? с промокодом rao2b0gl7y. Успейте заказать до 17.04. sbermarket://promotion_code/rao2b0gl7y
0;Ты забыл выйти из почты. Зачем ты пишешь Урганту? 
1;НОВАЯ коллекция и СКИДКА 500 рублей в магазине Планета Секонд Хенд (Ивантеевка, Первомайская, 29, пом.1)! Действует 01.07-04.07.23. Подробнее в магазине https://m.mrktlg.com/PtftXCQt8X/PLANETA_SH
0;Доход за 3 квартал составил 30 000 000 рублей
1;Вам ПОДАРОК-УКРАШЕНИЕ! БЕСПЛАТНО в магазине SUNLIGHT!Код:wq32 до 31.05 https://m.mts.ru/VLhBbDRr2X [18+]
0;Честно, если хочешь знать моё мнение, пицца с ананасами не такая и плохая
1;Скидки до 50% на сковороды до 31.03.2023! https://clck.ru/33epDo
0;Я КУПИЛ МАШИНУ, приезжай ко мне, покатаемся 
1;?Скидка на страхование ипотеки от АО «АльфаСтрахование» через билайн для клиентов ряда банков. Подробнее http://cm.beeline.ru/i/Gakq9YlglfNl6AI0
0;Доров, ты случаем не знаешь, как делается задание по экономике?
1;Две фирменные пиццы 35 см по цене 860 Код 860 timspizza.ru
0;Мне кажется, тебе надо было отключить сообщения в тиндере. Нас ждёт серьёзный разговор!
1;СУПЕРСКИДКИ! ШОРТЫ от 449, МАЙКИ от 199, ПЛАТЬЯ от 349, ДЖИНСЫ от 599!
0;Дети в африке голодают, а ты мою еду из холдильника выкидываешь? 
1;Удача на твоей стороне??3 пиццы=888р Код:maf4008! ekb.pizzamafia.ru/b6
0;Мне нравятся твои серёжки, где купиkf?
1;СУПЕРСКИДКИ! ШОРТЫ от 449, МАЙКИ от 199, ПЛАТЬЯ от 349, ДЖИНСЫ от 599!
0;колонка доставлена в постмат, срок хранения 3 дня
1;Осталось 2 дня! 35% + 50% товар все меньше.Код 3142.Действуйте!
0;Ваш чек на покупку машины 
1;"Подключен пакет ""KION"" за 0.0 руб./месяц. Смотрите любимые каналы в приложении ""KION"": kion.onelink.me/26fZ/g Посмотреть контент, который входит в подписку: ""Ещё"" - ""Подписки"" - ""Мои"" - ""Подключённая подписка"". Приятного просмотра!"
0;ВЫ ВЫЙГРАЛИ GREEN CARD обращайтесь в посольство США для релокации
1;Ольга, жаль, что вы ушли из SUNLIGHT без покупок. Дарим персональную скидку на все товары -5% до 27.06 по коду 2760491. Ждем вас!
0;Люблю тебя 
1;? -40% на ВСЕ по коду JUNE до 12/06! https://bit.ly/45RFIir
0;Отправленное задание не соответсвует действительности
1;Только 4 дня на ВСЁ-10%, 29.06-02.07! Идеи СевМост
0;Ребят, у вас пересдача по Мат. Анализу
1;ГАЛАКТИКА поздравляет с Днём защиты Детей!  На все детские товары! СКИДКА -20% С 31 мая по 4 июня!
0;Что я делаю не так со своей жизнью…
1;"Спасибо, что Вы с нами! В честь Дня рождения МТС дарим персональную скидку 15% на смартфоны, гаджеты, телевизоры и устройства ""умного"" дома. Доступна рассрочка до 24 месяцев без первого платежа. Приходите за покупками в салоны МТС и на https://shop.mts.by/21yo Ваш МТС"
0;Пожалуйста, обратись к врачу, это серьёзно
1;Имперские скидки! Только 14 и 15 мая СКИДКА-50% на ВСЁ! Империя сумок
0;Привет, давно тебе не писал, ты как?
1;Для Вас до 20%поСМС а аптеке г.Находка,Находкинский пр-т,д.60,до 12.07
0;Просим извинения за просроченный заказ. В следующий раз будет лучше
1;Активируй свой сертификат на льготное обучение в ММУ. 88007071892
0;Лол, я думал ты как барин себя ведёшь
1;Дарим вам скидку 5% на один заказ www.oz.by/s/h6g4PWHp7Mj6
0;Мне никогда не нравилсиь ручки у нас в офисе
1;Майская распродажа на бриллианты до -70% liniilubvi.ru/~zH
0;Не забудьте проголосовать за кондитадата в президенты
1;Вам 500 бонусов до 28.06! Оплачивайте до 50% покупки. letu.ru/5b6
0;Купи яйца для яичницы. Если не посмотришь почту тебе хана
1;Выиграйте более 49 млн в лотерее Всё или ничего на stolo.to/1224
0;Никогда бы не подумал, что ты будешь алкоголиком….
1;мяу в лэтуаль черная пятница Летом!Скидки до 80%
0;Забронировано место в отеле Делишес в Астрахани на 23.12.25 по адресу камунарная 3 сроение 21
1;Бесплатная кредитная карта «180 дней» без %, снятие наличных до 50 000 руб. в месяц без комиссии. Оформить s.gpb.ru/m/43riIvX7P Банк ГПБ (АО)
0;ХАХАХАХАХА меня не поздравили 23 февраля((((
1;SALE ?? до -70% на ВСЁ в Золотой Подкове ???? по 28.05! Спешите!
0;Кек, ну ты и выдал конечно. Давай не в этот раз
1;Привет, скинь пожалуйста денег по номеру
